businessName,instagramUrl,websiteUrl,listingUrl,city,neighborhood,businessType,dietaryTags,dohGrade,contactEmail,phone,address,googleRating,googleReviewCount
Sozai Japanese Restaurant (Izakaya Ramen),https://instagram.com/sozainyc,https://www.sozainyc.com/,https://www.eatrealfoodnyc.com/restaurants/sozai-japanese-restaurant-izakaya-ramen,Manhattan,Midtown,Japanese restaurant,,NA,info@sozainyc.com,16469144242,"19 W 45th St, New York, NY 10036",4.9,3164
32 North,https://www.instagram.com/32northrestaurant,https://www.32northrestaurant.com/,https://www.eatrealfoodnyc.com/restaurants/32-north,Queens,Rosedale,Restaurant,,NA,team@latofonts.com,15165930131,"32 N Central Ave, Valley Stream, NY 11580",4.9,2931
Laghman Express,https://www.instagram.com/laghman.express,http://laghmanexpress.com/,https://www.eatrealfoodnyc.com/restaurants/laghman-express,Brooklyn,Borough Park,Halal restaurant,halal,B,laghmanexpress@gmail.com,17182320525,"6201 20th Ave, Brooklyn, NY 11204",4.9,2779
787 Coffee,https://www.instagram.com/787coffee,http://787coffee.com/,https://www.eatrealfoodnyc.com/restaurants/787-coffee-mott,Bronx,Mott Haven,Coffee shop,,A,brandon@787coffee.com,16468562132,"2430 Third Ave, Bronx, NY 10451",4.9,2744
Gulp,https://www.instagram.com/jiabungulp_nyc,https://www.gulpjiabun.com/,https://www.eatrealfoodnyc.com/restaurants/gulp,Queens,Long Island City,Taiwanese restaurant,,NA,contact@gulpjiabun.com,19297898644,"42-45 27th St, Long Island City, NY 11101",4.9,2716
The Loft Steakhouse,https://www.instagram.com/theloftsteakhouse,http://www.theloftsteakhouse.com/,https://www.eatrealfoodnyc.com/restaurants/the-loft-steakhouse,Brooklyn,Borough Park,Steak house,kosher,A,rsvp@theloftsteakhouse.com,17184755600,"1306 40th St, Brooklyn, NY 11218",4.9,2691
Bareburger,https://www.instagram.com/bareburger,https://www.bareburger.com/,https://www.eatrealfoodnyc.com/restaurants/bareburger-upper-mn,Manhattan,Upper West Side,Hamburger restaurant,whole-foods,A,studio@zachmccurdy.xyz,19294910112,"2233 Broadway, New York, NY 10024",4.9,2674
Mira Mediterranean & Hookah Lounge,null,https://miranyc34.com/,https://www.eatrealfoodnyc.com/restaurants/mira-mediterranean-hookah-lounge,Manhattan,Kips Bay,Mediterranean restaurant,halal,NA,,12129330912,"206 E 34th St, New York, NY 10016",4.9,2504
Dagg Thai Restaurant,null,https://daggthainyc.com/,https://www.eatrealfoodnyc.com/restaurants/dagg-thai-restaurant,Manhattan,Murray Hill,Thai restaurant,vegetarian,NA,info@daggthainyc.com,19295992632,"10 E 39th St, New York, NY 10016",4.9,2444
Brick City Vegan Newark (Formerly known as Urban Vegan),https://www.instagram.com/urbanvegannewark,https://brickcityvegan.com/,https://www.eatrealfoodnyc.com/restaurants/brick-city-vegan-newark-formerly-known-as-urban-vegan,Staten Island,Mariners Harbor,Vegan restaurant,dairy-free|vegan|vegetarian,NA,contactus@myurbanvegan.com,19737330011,"915 Broad St Retail 1, Newark, NJ 07102",4.9,2386
Talkin' Tacos New York,null,https://talkintacos.net/,https://www.eatrealfoodnyc.com/restaurants/talkin-tacos-new-york,Manhattan,Washington Heights,Taco restaurant,,NA,batatamo@yahoo.com,16465937531,"4179 Broadway, New York, NY 10033",4.9,2223
SAPERAVI,null,https://www.saperavinyc.com/,https://www.eatrealfoodnyc.com/restaurants/saperavi,Manhattan,Gramercy Park,Georgian restaurant,,A,,16464788669,"245 E 14th St, New York, NY 10003",4.9,2112
Chocolate House Bronx 161,null,https://www.instagram.com/chocolatehousenj%3Figshid%3DMmVlMjlkMTBhMg%3D%3D,https://www.eatrealfoodnyc.com/restaurants/chocolate-house-bronx-161,Bronx,Concourse,Dessert shop,,NA,,13474313367,"92E E 161st St, Bronx, NY 10451",4.9,2019
Glatt A La Carte,https://www.instagram.com/glattalacarte,http://www.glattalacarte.com/,https://www.eatrealfoodnyc.com/restaurants/glatt-a-la-carte,Brooklyn,Borough Park,Steak house,kosher,NA,sales@glattalacarte.com,17184386675,"5123 18th Ave, Brooklyn, NY 11204",4.9,1809
Nai Brother Sauerkraut Fish 奈哥酸菜鱼 (Columbia University),null,https://www.naibrothersauerkrautfish.com/,https://www.eatrealfoodnyc.com/restaurants/nai-brother-sauerkraut-fish-columbia-university,Manhattan,Morningside Heights,Chinese restaurant,,NA,,16468951015,"2817 Broadway, New York, NY 10025",4.9,1688
L'Adresse NoMad,https://www.instagram.com/ladressenyc,https://www.ladressenyc.com/,https://www.eatrealfoodnyc.com/restaurants/ladresse-nomad,Manhattan,Flatiron District,New American restaurant,,A,info@ladressenyc.com,12122212510,"1184 Broadway, New York, NY 10001",4.9,1613
Isla & Co. - Williamsburg,https://www.instagram.com/islaandco,https://www.isla-co.com/williamsburg,https://www.eatrealfoodnyc.com/restaurants/isla-co-williamsburg,Brooklyn,Williamsburg,Restaurant,whole-foods,NA,hello@islanewyork.com,19292152275,"66 Grand St, Brooklyn, NY 11249",4.9,1546
Kaew Jao Jorm,null,https://kaewjaojorm.com/,https://www.eatrealfoodnyc.com/restaurants/kaew-jao-jorm,Brooklyn,Williamsburg,Thai restaurant,,B,,12125511199,"800 Grand St, Brooklyn, NY 11211",4.9,1517
Central Park,https://www.instagram.com/centralparknyc,https://www.centralparknyc.org/,https://www.eatrealfoodnyc.com/restaurants/central-park,Manhattan,Upper East Side,Park,,NA,salmaan.khan@thehighline.org,12123106600,"New York, NY",4.8,297223
Noches De Colombia Clifton,https://www.instagram.com/nochesclifton,https://nochesclifton.com/,https://www.eatrealfoodnyc.com/restaurants/noches-de-colombia-clifton,Manhattan,Hell's Kitchen,Colombian restaurant,,NA,nochesdecolombia@gmail.com,19733557566,"1 village square east In Botany Village Square, Clifton, NJ 07011",4.8,16067
Inwood Bar & Grill,null,https://inwoodbarandgrill.com/,https://www.eatrealfoodnyc.com/restaurants/inwood-bar-grill,Manhattan,Inwood,Bar & grill,,NA,contact@inwoodbarandgrill.com,12123043704,"4892 Broadway, New York, NY 10034",4.8,13768
Gantry Plaza State Park,https://www.instagram.com/nystateparks,https://parks.ny.gov/parks/149/details.aspx,https://www.eatrealfoodnyc.com/restaurants/gantry-plaza-state-park,Queens,Long Island City,State park,,NA,kevin.carroll@parks.ny.gov,17187866385,"4-44 47th Rd, Long Island City, NY 11101",4.8,9953
Bua Thai Ramen & Robata Grill,null,http://buathairamennyc.com/%3Fy_source%3D1_MTI4OTk2NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,https://www.eatrealfoodnyc.com/restaurants/bua-thai-ramen-robata-grill,Manhattan,Yorkville,Thai restaurant,,A,buathairamennyc@gmail.com,12128797999,"1611 2nd Ave, New York, NY 10028",4.8,9780
Essex,https://www.instagram.com/essexrestaurant.nyc,https://www.essexnyc.com/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic%26utm_source%3Dgmb_listing,https://www.eatrealfoodnyc.com/restaurants/essex,Manhattan,Lower East Side,Steak house,,B,bethsharona@yahoo.com,12125339616,"124 Rivington St, New York, NY 10002",4.8,8694
Haidilao Hotpot,null,https://www.superhiinternational.com/serve/storeSearch,https://www.eatrealfoodnyc.com/restaurants/haidilao-hotpot,Queens,Flushing,Hot pot restaurant,,NA,feedback@superhiinternational.com,19172318888,"138-23 39th Ave, Flushing, NY 11354",4.8,8366
Fogo de Chão Brazilian Steakhouse,https://www.instagram.com/fogo,https://fogodechao.com/location/queens/,https://www.eatrealfoodnyc.com/restaurants/fogo-de-cho-brazilian-steakhouse-rego,Queens,Rego Park,Brazilian restaurant,,NA,lasvegasevents@fogo.com,19293794333,"92-50 59th Ave, Elmhurst, NY 11373",4.8,7943
Up Thai,https://www.instagram.com/upthainyc,http://www.upthainyc.com/,https://www.eatrealfoodnyc.com/restaurants/up-thai,Manhattan,Upper East Side,Thai restaurant,,A,info@upthainyc.com,12122561199,"1411 2nd Ave, New York, NY 10021",4.8,7625
Broad Nosh Bagels Deli & Catering 58th Street,null,https://broadnosh.com/,https://www.eatrealfoodnyc.com/restaurants/broad-nosh-bagels-deli-catering-58th-street,Manhattan,Lincoln Square,Bagel shop,,NA,broadnoshbagels@gmail.com,12129334844,"314 W 58th St, New York, NY 10019",4.8,7258
Diner 24 NYC,https://www.instagram.com/diner24nyc,https://diner24nyc.com/%3Futm_source%3DGMB%26utm_medium%3DGMB%26utm_campaign%3DGMB,https://www.eatrealfoodnyc.com/restaurants/diner-24-nyc,Manhattan,Gramercy Park,Diner,vegetarian,NA,info@diner24nyc.com,16468526921,"283 3rd Ave, New York, NY 10010",4.8,6721
Tartinery Café - Bar | Grand Central,https://www.instagram.com/tartinery,http://www.tartinery.com/,https://www.eatrealfoodnyc.com/restaurants/tartinery-caf-bar-grand-central,Manhattan,Murray Hill,Cafe,vegetarian,NA,damion_85@hotmail.com,13476427090,"Grand Central Station, Lower Level Dining Concourse, 89 E 42nd St, New York, NY 10017",4.8,4612
Isla & Co. - Midtown,https://www.instagram.com/islaandco,http://www.isla-co.com/,https://www.eatrealfoodnyc.com/restaurants/isla-co-midtown,Manhattan,Midtown,Restaurant,whole-foods,NA,hello@islanewyork.com,16466769373,"25 W 38th St, New York, NY 10018",4.8,4564
OBAO Midtown Thai & Vietnamese restaurant,http://instagram.com/obao_ny,http://www.obaony.com/,https://www.eatrealfoodnyc.com/restaurants/obao-midtown-thai-vietnamese-restaurant,Manhattan,Midtown East,Vietnamese restaurant,,NA,info@obaony.com,12123085588,"222 E 53rd St, New York, NY 10022",4.8,4481
Elephant Ear,null,https://www.elephantear.com/,https://www.eatrealfoodnyc.com/restaurants/elephant-ear,Manhattan,Hell's Kitchen,Thai restaurant,vegetarian,NA,,16464788661,"690 9th Ave, New York, NY 10036",4.8,4477
LumLum,null,http://www.lumlumnyc.com/,https://www.eatrealfoodnyc.com/restaurants/lumlum,Manhattan,Hell's Kitchen,Thai restaurant,,NA,info@lumlumnyc.com,16466844618,"404 W 49th St, New York, NY 10019",4.8,4430
Kin ramen,null,https://kinramen.com/,https://www.eatrealfoodnyc.com/restaurants/kin-ramen,Manhattan,Lincoln Square,Ramen restaurant,,A,,12129339292,"129 W 56th St, New York, NY 10019",4.8,4215
Patiala Indian Grill & Bar,https://www.instagram.com/patialaindiangrillbar,http://35.patialany.com/,https://www.eatrealfoodnyc.com/restaurants/patiala-indian-grill-bar,Manhattan,Midtown,Restaurant,vegetarian,NA,hello@patialany.com,12125648255,"240 W 35th St, New York, NY 10001",4.8,4069
Myrtle Thai,null,https://www.myrtlethaibk.com/,https://www.eatrealfoodnyc.com/restaurants/myrtle-thai,Brooklyn,Clinton Hill,Thai restaurant,,NA,,17184221142,"438 Myrtle Ave, Brooklyn, NY 11205",4.8,3811
787 Coffee,https://www.instagram.com/787coffee,http://www.787coffee.com/,https://www.eatrealfoodnyc.com/restaurants/787-coffee-financial,Manhattan,Financial District,Coffee shop,,B,brandon@787coffee.com,16464499200,"66 Pearl St, New York, NY 10004",4.8,3804
Hole In The Wall,https://www.instagram.com/holeinthewall,https://holeinthewallnyc.com/williamsburg-1,https://www.eatrealfoodnyc.com/restaurants/hole-in-the-wall,Brooklyn,Williamsburg,Restaurant,,A,info@holeinthewallnyc.com,19292958361,"292 Bedford Ave, Brooklyn, NY 11249",4.8,3792
Hole In The Wall - FiDi,https://www.instagram.com/holeinthewall,http://www.holeinthewallnyc.com/fidi,https://www.eatrealfoodnyc.com/restaurants/hole-in-the-wall-fidi,Manhattan,Financial District,Restaurant,,NA,info@holeinthewallnyc.com,12126029991,"15 Cliff St, New York, NY 10038",4.8,3772
Bareburger,https://www.instagram.com/bareburger,https://www.bareburger.com/,https://www.eatrealfoodnyc.com/restaurants/bareburger-upper-mn-1490,Manhattan,Upper West Side,Hamburger restaurant,whole-foods,A,studio@zachmccurdy.xyz,16465592986,"795 Columbus Ave, New York, NY 10025",4.8,3608
Celeste,https://www.instagram.com/celesterestaurantnyc_cashonly,https://celesterestaurantny.com/%3Futm_source%3Dgoogle,https://www.eatrealfoodnyc.com/restaurants/celeste,Manhattan,Upper West Side,Italian restaurant,,B,celesterestaurantnyc@gmail.com,12128744559,"502 Amsterdam Ave, New York, NY 10024",4.8,3607
Chalong Southern Thai,https://www.instagram.com/chalongnyc,http://chalongnyc.com/,https://www.eatrealfoodnyc.com/restaurants/chalong-southern-thai,Manhattan,Hell's Kitchen,Thai restaurant,vegetarian,NA,chalong@chalongnyc.com,12124666456,"749 9th Ave, New York, NY 10019",4.8,3467
Shukette,null,http://www.shukettenyc.com/,https://www.eatrealfoodnyc.com/restaurants/shukette,Manhattan,Chelsea,Middle Eastern restaurant,halal,A,info@shukettenyc.com,12122421803,"230 9th Ave, New York, NY 10001",4.8,3406
Hey Thai,null,http://hey-thai-nyc.com/,https://www.eatrealfoodnyc.com/restaurants/hey-thai,Manhattan,Financial District,Thai restaurant,vegetarian,A,,16464768084,"127 John St, New York, NY 10038",4.8,3301
Hook & Reel Cajun Seafood & Bar,https://www.instagram.com/hookandreel.usa,https://hookreel.com/location/howardbeach/,https://www.eatrealfoodnyc.com/restaurants/hook-reel-cajun-seafood-bar-ozone,Queens,Ozone Park,Seafood restaurant,,NA,easonlee8589@gmail.com,17186736207,"133-40 79th St Suite H, Howard Beach, NY 11414",4.8,3230
EZ Paella & Tapas,https://www.instagram.com/ezpaella,http://www.ezpaella.com/,https://www.eatrealfoodnyc.com/restaurants/ez-paella-tapas,Manhattan,Hell's Kitchen,Spanish restaurant,,NA,ezpaellany@gmail.com,16317796916,"744 9th Ave, New York, NY 10019",4.8,3188
Rockwells,null,https://www.rockwellsusa.com/,https://www.eatrealfoodnyc.com/restaurants/rockwells,Bronx,Wakefield,American restaurant,,NA,mskinner@rockwellsusa.com,19147385881,"105 Wolfs Ln, Village of Pelham, NY 10803",4.8,3163
The Horny Ram,https://www.instagram.com/THEHORNYRAMNYC,https://www.thehornyramnyc.com/,https://www.eatrealfoodnyc.com/restaurants/the-horny-ram,Manhattan,Midtown East,Bar,,A,marko@farmhousehospitalitynyc.com,19172614136,"951 2nd Ave, New York, NY 10022",4.8,3039
Tandoori Place,null,https://www.ordertandooriplace.com/,https://www.eatrealfoodnyc.com/restaurants/tandoori-place,Bronx,Parkchester,Indian restaurant,vegetarian,A,,17185504062,"2146 Starling Ave, Bronx, NY 10462",4.8,2903
"Sal, Kris & Charlie's Deli",null,http://www.salkrisandcharlies.com/,https://www.eatrealfoodnyc.com/restaurants/sal-kris-charlies-deli,Queens,Astoria,Sandwich shop,,NA,,17182789240,"33-12 23rd Ave, Astoria, NY 11105",4.8,2865
La Pecora Bianca UWS,https://www.instagram.com/lapecorabianca,https://www.lapecorabianca.com/,https://www.eatrealfoodnyc.com/restaurants/la-pecora-bianca-uws,Manhattan,Upper West Side,Italian restaurant,,NA,emily@lapecorabianca.com,12123009870,"359 Columbus Ave, New York, NY 10024",4.8,2764
Broad Nosh Bagels Deli & Catering 42nd Street,null,https://broadnosh.com/,https://www.eatrealfoodnyc.com/restaurants/broad-nosh-bagels-deli-catering-42nd-street,Manhattan,Hell's Kitchen,Bagel shop,,NA,broadnoshbagels@gmail.com,19174090403,"587 9th Ave, New York, NY 10036",4.8,2483
La Pecora Bianca UES,https://www.instagram.com/lapecorabianca,https://www.lapecorabianca.com/,https://www.eatrealfoodnyc.com/restaurants/la-pecora-bianca-ues,Manhattan,Yorkville,Italian restaurant,,NA,emily@lapecorabianca.com,12123009840,"1562 2nd Ave, New York, NY 10028",4.8,2453
Cozy Cafe,null,http://cozycafenyc.org/,https://www.eatrealfoodnyc.com/restaurants/cozy-cafe,Manhattan,East Village,Cafe,halal,A,,19174061945,"43 E 1st St, New York, NY 10003",4.8,2385
Mojitos,https://www.instagram.com/mojitosrestaurantbar,http://www.mojitosrestaurantbar.com/,https://www.eatrealfoodnyc.com/restaurants/mojitos,Queens,Jackson Heights,Fusion restaurant,,A,mojitosny@gmail.com,17183509861,"81-01 Northern Blvd, Jackson Heights, NY 11372",4.8,2234
When in Bangkok,https://www.instagram.com/wib.nyc/,http://www.wib-nyc.com/,https://www.eatrealfoodnyc.com/restaurants/when-in-bangkok,Queens,Flushing,Thai restaurant,,A,wheninbk.mng@gmail.com,19293622000,"161-16 Northern Blvd, Flushing, NY 11358",4.8,2199
Tenichi Ramen,null,https://www.tenichiramen.com/,https://www.eatrealfoodnyc.com/restaurants/tenichi-ramen,Brooklyn,Park Slope,Ramen restaurant,,NA,,17183698808,"382 7th Ave, Brooklyn, NY 11215",4.8,2146
Panineria NYC,null,http://www.lapanineria.com/,https://www.eatrealfoodnyc.com/restaurants/panineria-nyc,Manhattan,Greenwich Village,Italian restaurant,,NA,info@lapanineria.com,19173883257,"9 E 8th St, New York, NY 10003",4.8,2129
Hole In The Wall - Murray Hill,https://www.instagram.com/holeinthewall,https://holeinthewallnyc.com/murray-hill,https://www.eatrealfoodnyc.com/restaurants/hole-in-the-wall-murray-hill,Manhattan,Kips Bay,Restaurant,,NA,info@holeinthewallnyc.com,16468580401,"445 E 35th St, New York, NY 10016",4.8,2092
Antidote,https://www.instagram.com/antidote__nyc,http://antidoteny.com/,https://www.eatrealfoodnyc.com/restaurants/antidote,Brooklyn,Williamsburg,Chinese restaurant,,A,management@antidoteny.com,18339988711,"66 S 2nd St, Brooklyn, NY 11249",4.8,2073
Halal Eats,null,http://halaleats.dine.online/%3Futm_source%3Dwebsite,https://www.eatrealfoodnyc.com/restaurants/halal-eats,Queens,Elmhurst,Halal restaurant,halal,NA,,17183095170,"89-25 Queens Blvd, Elmhurst, NY 11373",4.8,1978
Anixi Mediterranean Vegan Restaurant,null,https://www.anixinyc.com/,https://www.eatrealfoodnyc.com/restaurants/anixi-mediterranean-vegan-restaurant,Manhattan,Chelsea,Vegan restaurant,dairy-free|vegan|vegetarian,NA,info@anixinyc.com,16464100946,"290 8th Ave, New York, NY 10001",4.8,1958
Louie's,null,https://www.instagram.com/louiespizza%3Figsh%3DMThuNDVvZ2l2bTVkMQ%3D%3D,https://www.eatrealfoodnyc.com/restaurants/louies-jackson,Queens,Jackson Heights,Pizza restaurant,,NA,,17184409346,"81-34 Baxter Ave #1, Elmhurst, NY 11373",4.8,1913
Elephant District,https://www.instagram.com/elephant.district,https://www.elephantdistrict.com/,https://www.eatrealfoodnyc.com/restaurants/elephant-district,Brooklyn,DUMBO,Thai restaurant,vegetarian,NA,elephantdistrictbk@gmail.com,18453143606,"9 Old Fulton St, Brooklyn, NY 11201",4.8,1888
Malii Gramercy,null,https://www.maliigramercy.com/,https://www.eatrealfoodnyc.com/restaurants/malii-gramercy,Manhattan,Gramercy Park,Thai restaurant,vegetarian,A,maliigramercy@gmail.com,16469520078,"391 2nd Ave, New York, NY 10010",4.8,1862
Yemeni Restaurant,null,https://yemenirestaurantnyc.com/,https://www.eatrealfoodnyc.com/restaurants/yemeni-restaurant,Manhattan,Morningside Heights,Yemeni restaurant,halal,NA,,16467915022,"377 W 125th St, New York, NY 10027",4.8,1835
Jiang Nan NYC,null,https://jiangnanny.com/,https://www.eatrealfoodnyc.com/restaurants/jiang-nan-nyc,Manhattan,Chinatown,Chinese restaurant,,A,jiangnannyc@gmail.com,12127758998,"103 Bowery, New York, NY 10002",4.8,1809
Pisillo Italian Panini FIDI,https://www.instagram.com/pisillo_italian_panini_fidi,http://www.pisillopanini.com/,https://www.eatrealfoodnyc.com/restaurants/pisillo-italian-panini-fidi,Manhattan,Financial District,Italian restaurant,vegetarian,NA,marco.balsamo@faeuro.com,12122273104,"97 Nassau St, New York, NY 10038",4.8,1773
Avoca,https://www.instagram.com/avoca_nyc,https://avoca-nyc.com/,https://www.eatrealfoodnyc.com/restaurants/avoca,Manhattan,Yorkville,Restaurant,,B,roryavoca@gmail.com,12122020140,"1678 1st Ave, New York, NY 10128",4.8,1762
Da Andrea Chelsea,https://www.instagram.com/daandreanyc,https://www.daandreanyc.com/,https://www.eatrealfoodnyc.com/restaurants/da-andrea-chelsea,Manhattan,Chelsea,Italian restaurant,,NA,daandreawv@gmail.com,12123545971,"160 8th Ave, New York, NY 10011",4.8,1742
鱼你在一起 （法拉盛） Fish With You | Sauerkraut Fish 酸菜鱼,null,https://www.fishwithyouny.com/,https://www.eatrealfoodnyc.com/restaurants/fish-with-you-sauerkraut-fish,Queens,Flushing,Chinese restaurant,,NA,,17187990818,"135-25A 40th Rd, Flushing, NY 11354",4.8,1730
Bordeaux Steakhouse,https://www.instagram.com/bordeauxsteakhouse,http://bordeauxnyc.com/,https://www.eatrealfoodnyc.com/restaurants/bordeaux-steakhouse,Brooklyn,Kensington,Steak house,kosher,A,bordeauxparty@gmail.com,17189424040,"1922 Coney Island Ave, Brooklyn, NY 11230",4.8,1707
Maison Close Restaurant,https://www.instagram.com/maisoncloserestaurant,http://www.maisoncloserestaurant.com/,https://www.eatrealfoodnyc.com/restaurants/maison-close-restaurant,Manhattan,SoHo,French restaurant,,NA,info@maisoncloserestaurant.com,13479195063,"15 Watts St, New York, NY 10013",4.8,1651
Barnea Bistro,https://www.instagram.com/barneabistro,http://barneabistro.com/,https://www.eatrealfoodnyc.com/restaurants/barnea-bistro,Manhattan,Midtown East,Kosher restaurant,kosher,A,info@barneabistro.com,12124611001,"211 E 46th St, New York, NY 10017",4.8,1649
The King of Fish,https://www.instagram.com/elreydelpescadooficial,http://www.thekingoffish.net/,https://www.eatrealfoodnyc.com/restaurants/the-king-of-fish,Brooklyn,Sunset Park,Mexican restaurant,,NA,info@thekingoffish.net,13472278015,"4515 5th Ave, Brooklyn, NY 11220",4.8,1613
Karahi King Restaurant & Catering,null,https://karahikingnyc.com/,https://www.eatrealfoodnyc.com/restaurants/karahi-king-restaurant-catering,Bronx,Williamsbridge,Halal restaurant,halal,NA,,19178158881,"1075 Allerton Ave, Bronx, NY 10469",4.8,1612
ER HOT POT - 6TH AVE 贰火锅,https://www.instagram.com/erhotpot,https://www.er-hotpot.com/,https://www.eatrealfoodnyc.com/restaurants/er-hot-pot-6th-ave,Manhattan,Midtown,Hot pot restaurant,,NA,info@erhotpot.com,16466096668,"1029 6th Ave, New York, NY 10018",4.8,1589
Chopt Creative Salad Co.,https://www.instagram.com/choptsalad,http://www.choptsalad.com/,https://www.eatrealfoodnyc.com/restaurants/chopt-creative-salad-co-midtown-mn-3878,Manhattan,Midtown,Health food restaurant,whole-foods|low-calorie,NA,nmarsh3@gmail.com,12129748140,"145 W 51st St, New York, NY 10019",4.8,1515
Khaosan,null,https://khaosannyc.com/%3Futm_source%3Dgoogle,https://www.eatrealfoodnyc.com/restaurants/khaosan,Brooklyn,Brooklyn Heights,Thai restaurant,vegetarian,NA,khaosannyc@gmail.com,13472940179,"128 Montague St, Brooklyn, NY 11201",4.8,1503
Cloves Indian Cuisine,https://www.instagram.com/clovesindiancuisine,http://clovesindiannyc.com/,https://www.eatrealfoodnyc.com/restaurants/cloves-indian-cuisine,Manhattan,Flatiron District,Indian restaurant,vegetarian,A,clovesindian1@gmail.com,16463989444,"66 Madison Ave Store B, New York, NY 10016",4.8,1497
Balaji Bhavan pure vegetarian South Indian restaurant,https://www.instagram.com/balaji_bhavan,https://balajibhavannj.com/,https://www.eatrealfoodnyc.com/restaurants/balaji-bhavan-pure-vegetarian-south-indian-restaurant,Manhattan,West Village,Vegetarian restaurant,vegetarian,NA,balajibhavanjc@gmail.com,19089363303,"249 Central Ave, Jersey City, NJ 07307",4.8,1496
One More Charm Thai Restaurant,null,http://www.onemorecharm.com/,https://www.eatrealfoodnyc.com/restaurants/one-more-charm-thai-restaurant,Brooklyn,Park Slope,Thai restaurant,,NA,info@onemorecharm.com,19292502052,"236 7th Ave # 6, Brooklyn, NY 11215",4.8,1493
Plue,https://www.instagram.com/pluenyc,https://www.pluenyc.com/,https://www.eatrealfoodnyc.com/restaurants/plue,Manhattan,East Harlem,Thai restaurant,vegetarian,A,plue.nyc@gmail.com,19296352456,"1575 Lexington Ave, New York, NY 10029",4.8,1491
Rockefeller Center,https://www.instagram.com/rockefellercenter,https://www.rockefellercenter.com/,https://www.eatrealfoodnyc.com/restaurants/rockefeller-center,Manhattan,Midtown,Historical landmark,,NA,patty@rockefellercenter.com,12125888601,"45 Rockefeller Plaza, New York, NY 10111",4.7,199585
